user_id,timestamp,group,landing_page,converted
851104,2017-01-21 22:11:48.556739,control,old_page,0
804228,2017-01-12 08:01:45.159739,control,old_page,0
661590,2017-01-11 16:55:06.154213,treatment,new_page,0
853541,2017-01-08 18:28:03.143765,treatment,new_page,0
864975,2017-01-21 01:52:26.210827,control,old_page,1
936923,2017-01-10 15:20:49.083499,control,old_page,0
679687,2017-01-19 03:26:46.940749,treatment,new_page,1
719014,2017-01-17 01:48:29.539573,control,old_page,0
817355,2017-01-04 17:58:08.979471,treatment,new_page,1
839785,2017-01-15 18:11:06.610965,treatment,new_page,1
929503,2017-01-18 05:37:11.527370,treatment,new_page,0
834487,2017-01-21 22:37:47.774891,treatment,new_page,0
803683,2017-01-09 06:05:16.222706,treatment,new_page,0
944475,2017-01-22 01:31:09.573836,treatment,new_page,0
718956,2017-01-22 11:45:11.327945,treatment,new_page,0
644214,2017-01-22 02:05:21.719434,control,old_page,1
847721,2017-01-17 14:01:00.090575,control,old_page,0
888545,2017-01-08 06:37:26.332945,treatment,new_page,1
650559,2017-01-24 11:55:51.084801,control,old_page,0
935734,2017-01-17 20:33:37.428378,control,old_page,0
740805,2017-01-12 18:59:45.453277,treatment,new_page,0
759875,2017-01-09 16:11:58.806110,treatment,new_page,0
767017,2017-01-12 22:58:14.991443,control,new_page,0
793849,2017-01-23 22:36:10.742811,treatment,new_page,0
905617,2017-01-20 14:12:19.345499,treatment,new_page,0
746742,2017-01-23 11:38:29.592148,control,old_page,0
892356,2017-01-05 09:35:14.904865,treatment,new_page,1
773302,2017-01-12 08:29:49.810594,treatment,new_page,0
913579,2017-01-24 09:11:39.164256,control,old_page,1
736159,2017-01-06 01:50:21.318242,treatment,new_page,0
690284,2017-01-13 17:22:57.182769,control,old_page,0
826115,2017-01-05 11:27:16.756633,treatment,new_page,0
875124,2017-01-05 15:39:25.439906,treatment,new_page,1
931013,2017-01-07 03:23:57.932344,treatment,new_page,0
710349,2017-01-11 22:24:44.226492,control,old_page,0
677533,2017-01-23 17:48:50.491821,control,old_page,0
831737,2017-01-11 21:18:20.911015,control,old_page,1
648583,2017-01-19 09:03:05.545308,treatment,new_page,0
728086,2017-01-03 17:07:00.837852,treatment,new_page,0
870163,2017-01-02 21:33:49.325594,treatment,new_page,0
771087,2017-01-16 00:05:29.983919,control,old_page,0
739414,2017-01-03 13:25:55.139705,treatment,new_page,0
896163,2017-01-22 09:10:20.753218,control,old_page,0
862225,2017-01-08 14:49:37.335432,control,old_page,1
939593,2017-01-05 09:15:31.984283,control,old_page,0
702260,2017-01-18 13:55:31.488221,control,old_page,0
943635,2017-01-22 13:37:39.722775,treatment,new_page,0
800436,2017-01-20 07:47:47.224386,treatment,new_page,0
698590,2017-01-23 11:51:59.925413,treatment,new_page,0
830513,2017-01-12 00:50:01.470557,treatment,new_page,0
670941,2017-01-05 08:16:41.306478,control,old_page,0
850231,2017-01-18 17:18:04.790584,control,old_page,1
916511,2017-01-22 06:20:04.691382,treatment,new_page,0
897174,2017-01-17 02:03:25.962173,treatment,new_page,0
906999,2017-01-22 19:16:44.715266,treatment,new_page,0
685794,2017-01-20 14:54:58.150621,control,old_page,0
757313,2017-01-09 11:23:17.561607,treatment,new_page,0
714733,2017-01-03 08:22:37.904146,control,old_page,0
